=> 2025-04-23 14:32:00 - SELL trade ouvert (jjGZY39T)- entrée : 1.14046, TP : N/A, SL : N/A
<= 2025-04-23 14:38:00 - Trade jjGZY39T fermé (STRAT hit à 1.14089), Dernier TP : N/A, profit -4.3
=> 2025-04-23 14:38:00 - BUY trade ouvert (e3FIKReb)- entrée : 1.14095, TP : N/A, SL : N/A
<= 2025-04-23 14:51:00 - Trade e3FIKReb fermé (STRAT hit à 1.14070), Dernier TP : N/A, profit -2.5
=> 2025-04-23 15:05:00 - BUY trade ouvert (PpskiARQ)- entrée : 1.14107, TP : N/A, SL : N/A
<= 2025-04-23 15:12:00 - Trade PpskiARQ fermé (STRAT hit à 1.14060), Dernier TP : N/A, profit -4.7
=> 2025-04-23 15:19:00 - BUY trade ouvert (fwkj0w72)- entrée : 1.14091, TP : N/A, SL : N/A
<= 2025-04-23 15:24:00 - Trade fwkj0w72 fermé (STRAT hit à 1.14062), Dernier TP : N/A, profit -2.9
=> 2025-04-23 15:24:00 - SELL trade ouvert (8vABTMlx)- entrée : 1.14056, TP : N/A, SL : N/A
<= 2025-04-23 16:07:00 - Trade 8vABTMlx fermé (STRAT hit à 1.13592), Dernier TP : N/A, profit 46.4
=> 2025-04-23 16:07:00 - BUY trade ouvert (yAOg5tCG)- entrée : 1.13601, TP : N/A, SL : N/A
<= 2025-04-23 16:08:00 - Trade yAOg5tCG fermé (STRAT hit à 1.13500), Dernier TP : N/A, profit -10.1
=> 2025-04-23 16:08:00 - SELL trade ouvert (dEjw18vP)- entrée : 1.13491, TP : N/A, SL : N/A
<= 2025-04-23 16:10:00 - Trade dEjw18vP fermé (STRAT hit à 1.13547), Dernier TP : N/A, profit -5.6
=> 2025-04-23 16:10:00 - BUY trade ouvert (072vF0FB)- entrée : 1.13556, TP : N/A, SL : N/A
<= 2025-04-23 16:22:00 - Trade 072vF0FB fermé (STRAT hit à 1.13592), Dernier TP : N/A, profit 3.6
=> 2025-04-23 16:22:00 - SELL trade ouvert (5lHiMiVT)- entrée : 1.13586, TP : N/A, SL : N/A
<= 2025-04-23 16:24:00 - Trade 5lHiMiVT fermé (STRAT hit à 1.13615), Dernier TP : N/A, profit -2.9
=> 2025-04-23 16:37:00 - BUY trade ouvert (lwhafPLc)- entrée : 1.13598, TP : N/A, SL : N/A
<= 2025-04-23 16:40:00 - Trade lwhafPLc fermé (STRAT hit à 1.13537), Dernier TP : N/A, profit -6.1
=> 2025-04-23 16:40:00 - SELL trade ouvert (quVrsXnF)- entrée : 1.13531, TP : N/A, SL : N/A
<= 2025-04-23 16:45:00 - Trade quVrsXnF fermé (STRAT hit à 1.13641), Dernier TP : N/A, profit -11.0
=> 2025-04-23 16:45:00 - BUY trade ouvert (DeOGuygD)- entrée : 1.13647, TP : N/A, SL : N/A
