Date,Time,Open,High,Low,Close,Volume
2025-04-18,21:47:00,1.13962,1.13966,1.1396,1.1396,6
2025-04-18,21:48:00,1.13963,1.13965,1.13961,1.13964,6
2025-04-18,21:49:00,1.13965,1.13965,1.13964,1.13964,2
2025-04-18,21:50:00,1.13965,1.13972,1.13965,1.13967,12
2025-04-18,21:51:00,1.13988,1.13988,1.13966,1.13966,2
2025-04-18,21:52:00,1.13992,1.13992,1.13967,1.13967,3
2025-04-18,21:53:00,1.13969,1.1397,1.13953,1.13958,19
2025-04-18,21:54:00,1.1396,1.1396,1.13954,1.13958,12
2025-04-18,21:55:00,1.13959,1.13959,1.13951,1.13959,3
2025-04-18,21:56:00,1.1396,1.13961,1.13956,1.13961,12
2025-04-18,21:57:00,1.13955,1.13961,1.13955,1.13961,4
2025-04-18,21:58:00,1.13955,1.13961,1.13955,1.13961,5
2025-04-18,21:59:00,1.1396,1.13961,1.13955,1.13961,13
2025-04-18,22:00:00,1.13963,1.13963,1.13958,1.13963,9
2025-04-18,22:01:00,1.13958,1.13961,1.13958,1.13961,2
2025-04-18,22:02:00,1.13958,1.13963,1.13958,1.13963,9
2025-04-18,22:03:00,1.13958,1.1396,1.13954,1.13958,10
2025-04-18,22:04:00,1.13957,1.1396,1.13954,1.13954,7
2025-04-18,22:05:00,1.13958,1.13958,1.13926,1.13929,63
2025-04-18,22:06:00,1.13927,1.13929,1.13916,1.13922,38
2025-04-18,22:07:00,1.13923,1.13927,1.13917,1.13925,121
2025-04-18,22:08:00,1.13926,1.13927,1.13917,1.13922,105
2025-04-18,22:09:00,1.13923,1.13926,1.13919,1.13925,74
2025-04-18,22:10:00,1.13926,1.13933,1.13925,1.13931,50
2025-04-18,22:11:00,1.1393,1.13938,1.1393,1.13935,29
2025-04-18,22:12:00,1.13934,1.13935,1.13932,1.13934,17
2025-04-18,22:13:00,1.13936,1.13936,1.13934,1.13935,6
2025-04-18,22:14:00,1.13936,1.1394,1.13936,1.13936,34
2025-04-18,22:15:00,1.13935,1.13937,1.13932,1.13934,24
2025-04-18,22:16:00,1.13935,1.13935,1.13928,1.13931,27
2025-04-18,22:17:00,1.13932,1.13932,1.13931,1.13932,5
2025-04-18,22:18:00,1.13931,1.13935,1.13929,1.13935,15
2025-04-18,22:19:00,1.13933,1.13934,1.13932,1.13934,9
2025-04-18,22:20:00,1.13931,1.13933,1.1393,1.13933,20
2025-04-18,22:21:00,1.13935,1.13935,1.13926,1.1393,12
2025-04-18,22:22:00,1.13942,1.13948,1.1394,1.13947,7
2025-04-18,22:23:00,1.13941,1.13944,1.13935,1.13943,7
2025-04-18,22:24:00,1.13941,1.13953,1.13937,1.13953,17
2025-04-18,22:25:00,1.13957,1.13969,1.13957,1.13964,15
2025-04-18,22:26:00,1.13963,1.13965,1.1395,1.13955,18
2025-04-18,22:27:00,1.13958,1.13968,1.13956,1.13961,5
2025-04-18,22:28:00,1.13969,1.13969,1.13961,1.13961,3
2025-04-18,22:29:00,1.13966,1.1397,1.13966,1.13969,3
2025-04-18,22:30:00,1.1396,1.13968,1.13957,1.13965,23
2025-04-18,22:31:00,1.13974,1.1398,1.13969,1.1398,8
2025-04-18,22:32:00,1.13976,1.13981,1.13969,1.13981,3
2025-04-18,22:33:00,1.13969,1.13969,1.1395,1.1395,15
2025-04-18,22:34:00,1.13945,1.1396,1.13945,1.1396,8
2025-04-18,22:35:00,1.13959,1.13964,1.13959,1.13959,8
2025-04-18,22:36:00,1.13972,1.13972,1.13964,1.13969,6
2025-04-18,22:37:00,1.1397,1.1397,1.13969,1.13969,2
2025-04-18,22:38:00,1.13951,1.13956,1.1395,1.13955,25
2025-04-18,22:39:00,1.13953,1.13962,1.13953,1.13957,23
2025-04-18,22:40:00,1.13958,1.13958,1.13958,1.13958,1
2025-04-18,22:41:00,1.13949,1.1395,1.13949,1.13949,3
2025-04-18,22:42:00,1.1395,1.13967,1.13944,1.13953,16
2025-04-18,22:43:00,1.13958,1.1396,1.13935,1.13951,24
2025-04-18,22:44:00,1.13952,1.13953,1.13949,1.13953,11
2025-04-18,22:45:00,1.13955,1.13985,1.1395,1.13952,20
2025-04-18,22:46:00,1.13953,1.13965,1.13952,1.13961,14
2025-04-18,22:47:00,1.13964,1.13964,1.13955,1.13955,24
2025-04-18,22:48:00,1.13954,1.13955,1.13953,1.13955,13
2025-04-18,22:49:00,1.13957,1.13957,1.13955,1.13955,35
2025-04-18,22:50:00,1.13958,1.13958,1.13954,1.13954,39
2025-04-18,22:51:00,1.13958,1.13958,1.13948,1.1395,19
2025-04-18,22:52:00,1.13948,1.1395,1.13948,1.13948,7
2025-04-18,22:53:00,1.1395,1.1395,1.13948,1.13948,4
2025-04-18,22:54:00,1.1395,1.13951,1.13948,1.13951,7
2025-04-18,22:55:00,1.13954,1.13956,1.13954,1.13954,5
2025-04-18,22:56:00,1.13958,1.13958,1.13958,1.13958,1
2025-04-18,22:57:00,1.13969,1.1397,1.13968,1.13968,4
2025-04-20,22:00:00,1.14022,1.14022,1.1396,1.1396,2
2025-04-20,22:02:00,1.14003,1.14003,1.14003,1.14003,1
2025-04-20,22:03:00,1.14002,1.14006,1.14002,1.14006,3
2025-04-20,22:04:00,1.13998,1.14006,1.13966,1.14006,4
2025-04-20,22:06:00,1.13998,1.13998,1.13998,1.13998,1
2025-04-20,22:07:00,1.14006,1.14006,1.14006,1.14006,1
2025-04-20,22:08:00,1.14002,1.14002,1.14002,1.14002,1
2025-04-20,22:10:00,1.13998,1.13998,1.13998,1.13998,1
2025-04-20,22:12:00,1.13997,1.13998,1.13997,1.13998,2
